"x","y","class"
472.08,347.88,1
161.37,930.31,2
958.92,445.47,2
64.41,313.73,2
675.12,796.55,1
734.61,284.71,1
435.45,799.11,1
829.02,618.01,1
530.73,208.41,1
2.17,2.72,2
471.21,187.44,2
284.7,909.38,2
234.29,298.11,2
768.82,373.67,1
843.42,86.94,2
224.35,707.75,1
470.67,151.61,2
469.62,44.83,2
151.39,885.2,2
997.39,135.42,2
196.72,104.2,1
437.21,906.1,2
521.91,845.91,2
341.94,260.39,2
244.91,15.64,2
889.92,410.51,1
49.16,505.65,2
839.56,890.31,2
920.03,621.61,2
720.98,252.46,1
869.33,349.03,1
967.25,926.77,2
118.3,0.03,2
387.21,407.05,2
452.3,874.69,2
674.12,43.88,2
354.06,663.91,2
274.44,420.06,2
21.22,397.17,2
768.4,249.13,1
766.73,476.17,1
60.51,362.68,2
980.41,2.31,2
620.32,470.17,2
385.63,323.84,2
213,748.48,2
193.37,293.85,2
472.48,614.94,1
874.41,642.58,1
6.57,720.6,1
400,184.13,2
794.22,160.67,2
977.65,630.16,2
152.19,972.75,2
187.42,466.75,2
915.75,691.57,1
900.99,464.32,1
892.98,78.06,2
179.13,726.32,1
346.6,765.31,1
999.54,168.24,2
808.94,665.21,1
338.69,882.67,2
253.78,148.14,2
843.36,297.8,1
492.83,512.95,1
66.65,80.47,2
829.98,252.54,2
805.93,76.21,2
53.97,14.77,2
108.86,735.08,2
649.95,497.44,1
981.33,328.08,2
828.5,569.92,1
649.79,93.03,2
536.45,749.17,1
574.97,375.57,1
615.73,925.05,2
281.61,119.31,2
373.79,521.48,2
239.74,574.86,2
986.99,522.4,2
349.7,140.11,1
99.35,360.59,2
741.08,787,1
178.88,982.33,2
305.72,825.75,2
766.19,949.53,2
462.66,822.25,2
61.78,557.18,2
530.82,409.21,1
739.72,220.2,1
142.75,323.32,2
520.86,941.86,2
884.41,442.69,1
18.28,432.31,2
68.42,839.6,2
604.12,836.99,2
391.88,905.84,2
412.49,240.71,1
449.78,285.94,1
881.55,525.49,1
39.73,946.31,2
651.12,710.49,1
526.9,83.94,2
206.37,671.04,2
391.2,448.63,2
382.32,225.56,2
540.72,369.31,1
225.8,990.78,2
330.22,116.15,2
10.28,467.88,2
591.84,178.71,2
424.52,948.03,2
325.64,195.24,2
292.22,940.67,2
468.8,531.19,1
82.45,454.5,2
29.32,65.92,2
807.42,121.71,2
407.46,277.05,1
316.38,638.86,2
96.07,707.58,2
147.55,208.18,2
892.04,123.93,2
457.99,755.81,1
642.04,263.68,1
650.81,24.76,2
740.61,899.87,2
216.68,161.9,1
873.82,864.43,2
626.13,803.82,2
290.66,525.2,2
564.57,627.72,1
413.3,758.18,1
837.13,804.47,2
725.21,57.04,2
514.61,360.2,1
936.52,176.21,2
329.79,323.29,2
653.44,168.91,2
965.37,571.93,2
536.22,150.8,2
392.39,38.52,2
804.11,364.8,1
679.79,147.49,2
937.4,324.95,2
407.98,551.38,1
117.42,196.02,2
992.99,821.36,2
735.62,737.96,1
45.95,207.62,1
749.42,132.12,2
373.13,693.81,2
517.85,249.83,1
14.23,349.93,2
690.89,855.29,2
287.66,302.49,2
250.43,229.93,2
147.69,99.15,2
691.47,274.31,1
519.96,116.36,2
937.93,513.75,2
564.24,129.41,2
509.76,610.68,1
776.88,818.01,2
250.92,191.88,2
978.61,711.27,1
522.66,685.15,1
390.13,665.87,2
942.43,232.47,2
104.67,852.33,2
102.9,977.95,2
270.42,639.22,2
533.16,789.83,1
3.06,964.15,2
46.23,984.63,2
383.8,1.46,2
486.51,451.67,1
515.84,452.15,1
781.75,916.05,2
592.1,666.06,1
638.98,532.62,1
116.63,667.49,2
855.46,548.56,1
432.34,406.23,1
485.46,122.48,2
306.62,731.58,2
913.09,934.64,2
672.13,907.09,2
715.4,429.55,1
205.18,36.9,2
29.1,634.56,2
318.62,67.9,2
912.35,20.79,2
613.8,253.19,1
222.17,126.04,2
748.96,401.39,1
950.25,732.56,2
229.01,612.11,2
852.65,467.33,1
243.46,74.75,2
796.19,583.29,1
935.87,957.7,2
570.98,30.01,2
616.75,953.65,1
215.33,642.74,2
797.01,740.14,1
11.84,598.13,2
964.69,416.43,2
61.49,45.74,2
412.3,63.55,2
422.51,864.08,2
513.84,655.92,1
997.35,584.21,2
143.72,563.94,2
548.59,890.99,2
487.53,296.45,1
678.32,661.36,1
668,570.56,1
438.32,454.47,2
271.06,837.28,2
936.36,802.92,2
342.08,46.09,2
968.4,757.45,2
298.21,1.51,2
368.84,63.23,2
695.74,768.9,1
2.98,530.67,2
103.71,155.26,2
112.39,228.48,2
976.02,675.24,2
112.69,772.66,2
21.55,116.17,2
143.89,625.98,2
436.01,19.34,2
108,390.2,2
660.62,950.96,2
611.38,695.21,1
922.08,845.56,2
192.81,814.45,2
802.92,504.19,1
14.79,892.9,2
728.36,553.57,1
111.8,461.69,2
163.77,261.85,2
724.68,340.5,1
427.2,486.7,1
214.28,247.8,2
381.78,766.85,2
327.16,479.2,2
91.6,54.17,2
75.69,108.67,2
876.04,151.01,2
83.89,181.18,2
782.6,100.91,2
997.26,286.67,2
294.58,666.02,2
561.74,213.88,1
106.39,888.2,2
579.42,577.53,1
698.31,209.54,1
767.14,878.27,2
540.83,506.31,1
805.03,230.77,1
906.97,251.92,2
643.48,851.82,2
560.51,699.94,1
801.14,433.76,1
600.55,285,1
337.5,720.32,2
746.1,80.29,2
384.28,960.45,2
985.01,471.44,2
904.24,204.08,1
222.24,542.29,2
450.23,679.85,1
180.73,334.74,2
136.05,511.53,2
399.64,120.25,2
241.34,831.42,2
997.08,923.12,2
140.84,452.01,2
288.81,570.68,2
874.76,18.12,2
49.43,889.54,2
748.19,654.99,1
20.43,264.68,2
248.47,931.07,2
833.42,431.85,1
179.46,150.31,2
710.1,461.19,1
402.26,991.69,2
844.07,941.28,2
610.96,96.83,2
310.65,889.83,2
713.93,119.5,2
632.71,383.28,1
578.37,312.04,1
64.64,793.43,1
